operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602919037672|1796|39|13
LdbcSnbBiQuery6ActivePosters|1602918420005|1602919039469|104|100|13
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602919039573|1895|100|13
LdbcSnbBiQuery9RelatedForums|1602918420005|1602919041469|547|42|13
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602919042017|161|100|13
LdbcSnbBiQuery9RelatedForums|1602918420005|1602919042178|526|5|14
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602919042705|128|100|14
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602919042834|3284|6|14
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602919046118|1829|100|14
LdbcSnbBiQuery10TagPerson|1602918420005|1602919047948|92|100|14
LdbcSnbBiQuery21Zombies|1602918420005|1602919048040|46|8|14
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602919048086|16|100|14
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602919048103|1165|100|14
LdbcSnbBiQuery15SocialNormals|1602918420005|1602919049269|3|3|14
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602919049272|702|100|14
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602919049975|11702|136|14
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602919061677|245|33|14
LdbcSnbBiQuery2TopTags|1602918420005|1602919061923|147|2|14
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602919062071|6820|2|14
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602919068892|102|100|14
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602919068994|22|20|14
LdbcSnbBiQuery7AuthoritativeUsers|1602918420005|1602919069017|1541|100|14
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602919070559|1594|100|14
LdbcSnbBiQuery1PostingSummary|1602918420005|1602919072154|1795|12|14
